TTLAYER OUTPUT FILE
--------------------------------------------------------------------------------
 input 
 Maximum delta in km:   15.0
 Delta increment in km:    0.0
 Hypocentral depth in km:    5.0
 Phase type:  
--------------------------------------------------------------------------------
 output (layer=layer model, grad=gradient model
    distance  tp (layer)   tp (grad)  ts (layer)   ts (grad)
      12.680       4.150       7.827       5.790       8.892
      12.690       4.152       7.829       5.793       8.895
      12.700       4.153       7.831       5.796       8.898
      12.710       4.155       7.832       5.799       8.902
      12.720       4.157       7.834       5.802       8.905
      12.730       4.159       7.836       5.805       8.908
      12.740       4.160       7.838       5.808       8.911
      12.750       4.162       7.839       5.811       8.914
      12.760       4.164       7.841       5.814       8.917
      12.770       4.165       7.843       5.817       8.920
      12.780       4.167       7.844       5.820       8.923
      12.790       4.169       7.846       5.823       8.927
      12.800       4.170       7.848       5.826       8.930
      12.810       4.172       7.850       5.830       8.933
      12.820       4.174       7.851       5.833       8.936
      12.830       4.176       7.853       5.836       8.939
      12.840       4.177       7.855       5.839       8.942
      12.850       4.179       7.857       5.842       8.945
      12.860       4.181       7.858       5.845       8.948
      12.870       4.182       7.860       5.848       8.952
      12.880       4.184       7.862       5.851       8.955
      12.890       4.186       7.863       5.854       8.958
      12.900       4.188       7.865       5.857       8.961
      12.910       4.189       7.867       5.860       8.964
      12.920       4.191       7.869       5.863       8.967
      12.930       4.193       7.870       5.867       8.970
      12.940       4.194       7.872       5.870       8.974
      12.950       4.196       7.874       5.873       8.977
      12.960       4.198       7.876       5.876       8.980
      12.970       4.199       7.877       5.879       8.983
      12.980       4.201       7.879       5.882       8.986
      12.990       4.203       7.881       5.885       8.989
      13.000       4.205       7.882       5.888       8.992
      13.010       4.206       7.884       5.891       8.995
      13.020       4.208       7.886       5.894       8.999
      13.030       4.210       7.888       5.897       9.002
      13.040       4.211       7.889       5.900       9.005
      13.050       4.213       7.891       5.904       9.008
      13.060       4.215       7.893       5.907       9.011
      13.070       4.216       7.895       5.910       9.014
      13.080       4.218       7.896       5.913       9.017
      13.090       4.220       7.898       5.916       9.020
      13.100       4.222       7.900       5.919       9.024
      13.110       4.223       7.901       5.922       9.027
      13.120       4.225       7.903       5.925       9.030
      13.130       4.227       7.905       5.928       9.033
      13.140       4.228       7.907       5.931       9.036
      13.150       4.230       7.908       5.934       9.039
      13.160       4.232       7.910       5.937       9.042
      13.170       4.233       7.912       5.941       9.045
      13.180       4.235       7.914       5.944       9.049
      13.190       4.237       7.915       5.947       9.052
      13.200       4.239       7.917       5.950       9.055
      13.210       4.240       7.919       5.953       9.058
      13.220       4.242       7.920       5.956       9.061
      13.230       4.244       7.922       5.959       9.064
      13.240       4.245       7.924       5.962       9.067
      13.250       4.247       7.926       5.965       9.071
      13.260       4.249       7.927       5.968       9.074
      13.270       4.251       7.929       5.971       9.077
      13.280       4.252       7.931       5.974       9.080
      13.290       4.254       7.933       5.978       9.083
      13.300       4.256       7.934       5.981       9.086
      13.310       4.257       7.936       5.984       9.089
      13.320       4.259       7.938       5.987       9.092
      13.330       4.261       7.939       5.990       9.096
      13.340       4.262       7.941       5.993       9.099
      13.350       4.264       7.943       5.996       9.102
      13.360       4.266       7.945       5.999       9.105
      13.370       4.268       7.946       6.002       9.108
      13.380       4.269       7.948       6.005       9.111
      13.390       4.271       7.950       6.008       9.114
      13.400       4.273       7.952       6.011       9.117
      13.410       4.274       7.953       6.015       9.121
      13.420       4.276       7.955       6.018       9.124
      13.430       4.278       7.957       6.021       9.127
      13.440       4.279       7.958       6.024       9.130
      13.450       4.281       7.960       6.027       9.133
      13.460       4.283       7.962       6.030       9.136
      13.470       4.285       7.964       6.033       9.139
      13.480       4.286       7.965       6.036       9.142
      13.490       4.288       7.967       6.039       9.146
      13.500       4.290       7.969       6.042       9.149
      13.510       4.291       7.971       6.045       9.152
      13.520       4.293       7.972       6.048       9.155
      13.530       4.295       7.974       6.052       9.158
      13.540       4.297       7.976       6.055       9.161
      13.550       4.298       7.977       6.058       9.164
      13.560       4.300       7.979       6.061       9.167
      13.570       4.302       7.981       6.064       9.171
      13.580       4.303       7.983       6.067       9.174
      13.590       4.305       7.984       6.070       9.177
      13.600       4.307       7.986       6.073       9.180
      13.610       4.308       7.988       6.076       9.183
      13.620       4.310       7.989       6.079       9.186
      13.630       4.312       7.991       6.082       9.189
      13.640       4.314       7.993       6.085       9.193
      13.650       4.315       7.995       6.089       9.196
      13.660       4.317       7.996       6.092       9.199
      13.670       4.319       7.998       6.095       9.202
      13.680       4.320       8.000       6.098       9.205
      13.690       4.322       8.002       6.101       9.208
      13.700       4.324       8.003       6.104       9.211
      13.710       4.325       8.005       6.107       9.214
      13.720       4.327       8.007       6.110       9.218
      13.730       4.329       8.008       6.113       9.221
      13.740       4.331       8.010       6.116       9.224
      13.750       4.332       8.012       6.119       9.227
      13.760       4.334       8.014       6.123       9.230
      13.770       4.336       8.015       6.126       9.233
      13.780       4.337       8.017       6.129       9.236
      13.790       4.339       8.019       6.132       9.239
      13.800       4.341       8.021       6.135       9.243
      13.810       4.343       8.022       6.138       9.246
      13.820       4.344       8.024       6.141       9.249
      13.830       4.346       8.026       6.144       9.252
      13.840       4.348       8.027       6.147       9.255
      13.850       4.349       8.029       6.150       9.258
      13.860       4.351       8.031       6.153       9.261
      13.870       4.353       8.033       6.156       9.264
      13.880       4.354       8.034       6.160       9.268
      13.890       4.356       8.036       6.163       9.271
      13.900       4.358       8.038       6.166       9.274
      13.910       4.360       8.040       6.169       9.277
      13.920       4.361       8.041       6.172       9.280
      13.930       4.363       8.043       6.175       9.283
      13.940       4.365       8.045       6.178       9.286
      13.950       4.366       8.046       6.181       9.290
      13.960       4.368       8.048       6.184       9.293
      13.970       4.370       8.050       6.187       9.296
      13.980       4.372       8.052       6.190       9.299
      13.990       4.373       8.053       6.194       9.302
      14.000       4.375       8.055       6.197       9.305
      14.010       4.377       8.057       6.200       9.308
      14.020       4.378       8.059       6.203       9.311
      14.030       4.380       8.060       6.206       9.315
      14.040       4.382       8.062       6.209       9.318
      14.050       4.383       8.064       6.212       9.321
      14.060       4.385       8.065       6.215       9.324
      14.070       4.387       8.067       6.218       9.327
      14.080       4.389       8.069       6.221       9.330
      14.090       4.390       8.071       6.224       9.333
      14.100       4.392       8.072       6.228       9.336
      14.110       4.394       8.074       6.231       9.340
      14.120       4.395       8.076       6.234       9.343
      14.130       4.397       8.078       6.237       9.346
      14.140       4.399       8.079       6.240       9.349
      14.150       4.401       8.081       6.243       9.352
      14.160       4.402       8.083       6.246       9.355
      14.170       4.404       8.084       6.249       9.358
      14.180       4.406       8.086       6.252       9.361
      14.190       4.407       8.088       6.255       9.365
      14.200       4.409       8.090       6.258       9.368
      14.210       4.411       8.091       6.262       9.371
      14.220       4.412       8.093       6.265       9.374
      14.230       4.414       8.095       6.268       9.377
      14.240       4.416       8.097       6.271       9.380
      14.250       4.418       8.098       6.274       9.383
      14.260       4.419       8.100       6.277       9.386
      14.270       4.421       8.102       6.280       9.390
      14.280       4.423       8.103       6.283       9.393
      14.290       4.424       8.105       6.286       9.396
      14.300       4.426       8.107       6.289       9.399
      14.310       4.428       8.109       6.292       9.402
      14.320       4.430       8.110       6.296       9.405
      14.330       4.431       8.112       6.299       9.408
      14.340       4.433       8.114       6.302       9.412
      14.350       4.435       8.115       6.305       9.415
      14.360       4.436       8.117       6.308       9.418
      14.370       4.438       8.119       6.311       9.421
      14.380       4.440       8.121       6.314       9.424
      14.390       4.441       8.122       6.317       9.427
      14.400       4.443       8.124       6.320       9.430
      14.410       4.445       8.126       6.323       9.433
      14.420       4.447       8.128       6.326       9.437
      14.430       4.448       8.129       6.330       9.440
      14.440       4.450       8.131       6.333       9.443
      14.450       4.452       8.133       6.336       9.446
      14.460       4.453       8.134       6.339       9.449
      14.470       4.455       8.136       6.342       9.452
      14.480       4.457       8.138       6.345       9.455
      14.490       4.459       8.140       6.348       9.458
      14.500       4.460       8.141       6.351       9.462
      14.510       4.462       8.143       6.354       9.465
      14.520       4.464       8.145       6.357       9.468
      14.530       4.465       8.147       6.360       9.471
      14.540       4.467       8.148       6.364       9.474
      14.550       4.469       8.150       6.367       9.477
      14.560       4.471       8.152       6.370       9.480
      14.570       4.472       8.153       6.373       9.483
      14.580       4.474       8.155       6.376       9.487
      14.590       4.476       8.157       6.379       9.490
      14.600       4.477       8.159       6.382       9.493
      14.610       4.479       8.160       6.385       9.496
      14.620       4.481       8.162       6.388       9.499
      14.630       4.482       8.164       6.391       9.502
      14.640       4.484       8.166       6.394       9.505
      14.650       4.486       8.167       6.398       9.509
      14.660       4.488       8.169       6.401       9.512
      14.670       4.489       8.171       6.404       9.515
      14.680       4.491       8.172       6.407       9.518
      14.690       4.493       8.174       6.410       9.521
      14.700       4.494       8.176       6.413       9.524
      14.710       4.496       8.178       6.416       9.527
      14.720       4.498       8.179       6.419       9.530
      14.730       4.500       8.181       6.422       9.534
      14.740       4.501       8.183       6.425       9.537
      14.750       4.503       8.185       6.428       9.540
      14.760       4.505       8.186       6.432       9.543
      14.770       4.506       8.188       6.435       9.546
      14.780       4.508       8.190       6.438       9.549
      14.790       4.510       8.191       6.441       9.552
      14.800       4.512       8.193       6.444       9.555
      14.810       4.513       8.195       6.447       9.559
      14.820       4.515       8.197       6.450       9.562
      14.830       4.517       8.198       6.453       9.565
      14.840       4.518       8.200       6.456       9.568
      14.850       4.520       8.202       6.459       9.571
      14.860       4.522       8.204       6.463       9.574
      14.870       4.523       8.205       6.466       9.577
      14.880       4.525       8.207       6.469       9.580
      14.890       4.527       8.209       6.472       9.584
      14.900       4.529       8.210       6.475       9.587
      14.910       4.530       8.212       6.478       9.590
      14.920       4.532       8.214       6.481       9.593
      14.930       4.534       8.216       6.484       9.596
      14.940       4.535       8.217       6.487       9.599
      14.950       4.537       8.219       6.490       9.602
      14.960       4.539       8.221       6.493       9.606
      14.970       4.541       8.223       6.497       9.609
      14.980       4.542       8.224       6.500       9.612
      14.990       4.544       8.226       6.503       9.615
