TTLAYER OUTPUT FILE
--------------------------------------------------------------------------------
 input 
 Maximum delta in km:   15.0
 Delta increment in km:    0.0
 Hypocentral depth in km:    5.0
 Phase type:  
--------------------------------------------------------------------------------
 output (layer=layer model, grad=gradient model
    distance  tp (layer)   tp (grad)  ts (layer)   ts (grad)
       2.150       2.475       6.010       2.825       5.598
       2.160       2.476       6.011       2.826       5.601
       2.170       2.477       6.013       2.828       5.604
       2.180       2.478       6.015       2.830       5.607
       2.190       2.479       6.017       2.832       5.610
       2.200       2.481       6.018       2.834       5.613
       2.210       2.482       6.020       2.835       5.617
       2.220       2.483       6.022       2.837       5.620
       2.230       2.484       6.023       2.839       5.623
       2.240       2.485       6.025       2.841       5.626
       2.250       2.486       6.027       2.843       5.629
       2.260       2.487       6.029       2.844       5.632
       2.270       2.488       6.030       2.846       5.635
       2.280       2.490       6.032       2.848       5.638
       2.290       2.491       6.034       2.850       5.642
       2.300       2.492       6.036       2.852       5.645
       2.310       2.493       6.037       2.853       5.648
       2.320       2.494       6.039       2.855       5.651
       2.330       2.495       6.041       2.857       5.654
       2.340       2.497       6.042       2.859       5.657
       2.350       2.498       6.044       2.861       5.660
       2.360       2.499       6.046       2.863       5.663
       2.370       2.500       6.048       2.865       5.667
       2.380       2.501       6.049       2.867       5.670
       2.390       2.502       6.051       2.868       5.673
       2.400       2.504       6.053       2.870       5.676
       2.410       2.505       6.055       2.872       5.679
       2.420       2.506       6.056       2.874       5.682
       2.430       2.507       6.058       2.876       5.685
       2.440       2.508       6.060       2.878       5.688
       2.450       2.509       6.061       2.880       5.692
       2.460       2.511       6.063       2.882       5.695
       2.470       2.512       6.065       2.884       5.698
       2.480       2.513       6.067       2.886       5.701
       2.490       2.514       6.068       2.888       5.704
       2.500       2.515       6.070       2.890       5.707
       2.510       2.517       6.072       2.892       5.710
       2.520       2.518       6.073       2.894       5.714
       2.530       2.519       6.075       2.895       5.717
       2.540       2.520       6.077       2.897       5.720
       2.550       2.522       6.079       2.899       5.723
       2.560       2.523       6.080       2.901       5.726
       2.570       2.524       6.082       2.903       5.729
       2.580       2.525       6.084       2.905       5.732
       2.590       2.526       6.086       2.907       5.735
       2.600       2.528       6.087       2.909       5.739
       2.610       2.529       6.089       2.911       5.742
       2.620       2.530       6.091       2.913       5.745
       2.630       2.531       6.092       2.915       5.748
       2.640       2.533       6.094       2.917       5.751
       2.650       2.534       6.096       2.919       5.754
       2.660       2.535       6.098       2.922       5.757
       2.670       2.536       6.099       2.924       5.760
       2.680       2.538       6.101       2.926       5.764
       2.690       2.539       6.103       2.928       5.767
       2.700       2.540       6.105       2.930       5.770
       2.710       2.541       6.106       2.932       5.773
       2.720       2.543       6.108       2.934       5.776
       2.730       2.544       6.110       2.936       5.779
       2.740       2.545       6.111       2.938       5.782
       2.750       2.546       6.113       2.940       5.785
       2.760       2.548       6.115       2.942       5.789
       2.770       2.549       6.117       2.944       5.792
       2.780       2.550       6.118       2.946       5.795
       2.790       2.552       6.120       2.948       5.798
       2.800       2.553       6.122       2.951       5.801
       2.810       2.554       6.124       2.953       5.804
       2.820       2.555       6.125       2.955       5.807
       2.830       2.557       6.127       2.957       5.811
       2.840       2.558       6.129       2.959       5.814
       2.850       2.559       6.130       2.961       5.817
       2.860       2.561       6.132       2.963       5.820
       2.870       2.562       6.134       2.965       5.823
       2.880       2.563       6.136       2.968       5.826
       2.890       2.564       6.137       2.970       5.829
       2.900       2.566       6.139       2.972       5.832
       2.910       2.567       6.141       2.974       5.836
       2.920       2.568       6.143       2.976       5.839
       2.930       2.570       6.144       2.978       5.842
       2.940       2.571       6.146       2.981       5.845
       2.950       2.572       6.148       2.983       5.848
       2.960       2.574       6.149       2.985       5.851
       2.970       2.575       6.151       2.987       5.854
       2.980       2.576       6.153       2.989       5.857
       2.990       2.578       6.155       2.991       5.861
       3.000       2.579       6.156       2.994       5.864
       3.010       2.580       6.158       2.996       5.867
       3.020       2.582       6.160       2.998       5.870
       3.030       2.583       6.162       3.000       5.873
       3.040       2.584       6.163       3.002       5.876
       3.050       2.586       6.165       3.005       5.879
       3.060       2.587       6.167       3.007       5.882
       3.070       2.588       6.168       3.009       5.886
       3.080       2.590       6.170       3.011       5.889
       3.090       2.591       6.172       3.014       5.892
       3.100       2.592       6.174       3.016       5.895
       3.110       2.594       6.175       3.018       5.898
       3.120       2.595       6.177       3.020       5.901
       3.130       2.596       6.179       3.023       5.904
       3.140       2.598       6.181       3.025       5.907
       3.150       2.599       6.182       3.027       5.911
       3.160       2.600       6.184       3.029       5.914
       3.170       2.602       6.186       3.032       5.917
       3.180       2.603       6.187       3.034       5.920
       3.190       2.604       6.189       3.036       5.923
       3.200       2.606       6.191       3.038       5.926
       3.210       2.607       6.193       3.041       5.929
       3.220       2.609       6.194       3.043       5.933
       3.230       2.610       6.196       3.045       5.936
       3.240       2.611       6.198       3.048       5.939
       3.250       2.613       6.199       3.050       5.942
       3.260       2.614       6.201       3.052       5.945
       3.270       2.615       6.203       3.054       5.948
       3.280       2.617       6.205       3.057       5.951
